Surprisal, VerbCondition, FillerCondition, EmbeddingLevel
10.095999,V-sg,N-sg,4
10.003445,V-pl,N-sg,4
10.0791855,V-sg,N-sg,4
10.000811,V-pl,N-sg,4
10.092879,V-sg,N-sg,4
10.023545,V-pl,N-sg,4
10.071017,V-sg,N-sg,4
10.008842,V-pl,N-sg,4
10.080713,V-sg,N-sg,4
10.071529,V-pl,N-sg,4
10.106947,V-sg,N-sg,4
10.059144,V-pl,N-sg,4
10.064673,V-sg,N-sg,4
10.044569,V-pl,N-sg,4
10.07575,V-sg,N-sg,4
10.076727,V-pl,N-sg,4
10.080466,V-sg,N-sg,4
10.037198,V-pl,N-sg,4
10.043316,V-sg,N-sg,4
10.111435,V-pl,N-sg,4
10.123872,V-sg,N-sg,4
10.045457,V-pl,N-sg,4
10.107221,V-sg,N-sg,4
10.013091,V-pl,N-sg,4
10.082001,V-sg,N-sg,4
10.023486,V-pl,N-sg,4
10.05438,V-sg,N-sg,4
10.083381,V-pl,N-sg,4
10.0664215,V-sg,N-sg,4
10.071905,V-pl,N-sg,4
